Brand,Device,Parameter Type,Parameter Name,Value/MSB,LSB,Min,Max,Description
art,sgx_2000/nitro/t2,CC,Special Effects,79,,0,127,Controls the special effects module
art,sgx_2000/nitro/t2,CC,Bypass,84,,0,127,Controls the global bypass function
asm,hydrasynth,CC,AMP Lfo2amt,62,,0,127,
asm,hydrasynth,CC,ARP Division,106,,0,127,
asm,hydrasynth,CC,ARP Gate,107,,0,127,
asm,hydrasynth,CC,ARP Mode,108,,0,127,
asm,hydrasynth,CC,ARP Ratchet,109,,0,127,
asm,hydrasynth,CC,ARP Chance,110,,0,127,
asm,hydrasynth,CC,ARP Octave,120,,0,127,
asm,hydrasynth,CC,ARP Length,122,,0,127,
asm,hydrasynth,CC,Delay Feedback,14,,0,127,
asm,hydrasynth,CC,Delay Time,15,,0,127,
asm,hydrasynth,CC,Delay WET Tone,63,,0,127,
asm,hydrasynth,CC,Delay DRY WET,92,,0,127,
asm,hydrasynth,CC,ENV1 Attack,81,,0,127,
asm,hydrasynth,CC,ENV1 Decay,82,,0,127,
asm,hydrasynth,CC,ENV1 Sustain,83,,0,127,
asm,hydrasynth,CC,ENV1 Release,84,,0,127,
asm,hydrasynth,CC,ENV2 Attack,85,,0,127,
asm,hydrasynth,CC,ENV2 Decay,86,,0,127,
asm,hydrasynth,CC,ENV2 Sustain,87,,0,127,
asm,hydrasynth,CC,ENV2 Release,88,,0,127,
asm,hydrasynth,CC,ENV3 Attack,89,,0,127,
asm,hydrasynth,CC,ENV3 Decay,90,,0,127,
asm,hydrasynth,CC,ENV3 Sustain,96,,0,127,
asm,hydrasynth,CC,ENV3 Release,97,,0,127,
asm,hydrasynth,CC,ENV4 Attack,25,,0,127,
asm,hydrasynth,CC,ENV4 Decay,27,,0,127,
asm,hydrasynth,CC,ENV4 Release,124,,0,127,
asm,hydrasynth,CC,ENV4 Sustain,125,,0,127,
asm,hydrasynth,CC,ENV5 Attack,102,,0,127,
asm,hydrasynth,CC,ENV5 Decay,103,,0,127,
asm,hydrasynth,CC,ENV5 Sustain,104,,0,127,
asm,hydrasynth,CC,ENV5 Release,105,,0,127,
asm,hydrasynth,CC,F1 Drive,50,,0,127,
asm,hydrasynth,CC,F1 Keytrack,51,,0,127,
asm,hydrasynth,CC,F1 Lfo1amt,52,,0,127,
asm,hydrasynth,CC,F1 VEL ENV,53,,0,127,
asm,hydrasynth,CC,F1 Env1amt,54,,0,127,
asm,hydrasynth,CC,F1 RES,71,,0,127,
asm,hydrasynth,CC,F1 Cutoff,74,,0,127,
asm,hydrasynth,CC,F2 Cutoff,55,,0,127,
asm,hydrasynth,CC,F2 RES,56,,0,127,
asm,hydrasynth,CC,F2 Type,57,,0,127,
asm,hydrasynth,CC,F2 Keytrack,58,,0,127,
asm,hydrasynth,CC,F2 Lfo1amt,59,,0,127,
asm,hydrasynth,CC,F2 VEL ENV,60,,0,127,
asm,hydrasynth,CC,F2 Env1amt,61,,0,127,
asm,hydrasynth,CC,LFO1 Gain,70,,0,127,
asm,hydrasynth,CC,LFO1 Rate,72,,0,127,
asm,hydrasynth,CC,LFO2 Gain,28,,0,127,
asm,hydrasynth,CC,LFO2 Rate,73,,0,127,
asm,hydrasynth,CC,LFO3 Gain,75,,0,127,
asm,hydrasynth,CC,LFO3 Rate,76,,0,127,
asm,hydrasynth,CC,LFO4 Gain,77,,0,127,
asm,hydrasynth,CC,LFO4 Rate,78,,0,127,
asm,hydrasynth,CC,LFO5 Gain,79,,0,127,
asm,hydrasynth,CC,LFO5 Rate,80,,0,127,
asm,hydrasynth,CC,Macro1,16,,0,127,
asm,hydrasynth,CC,Macro2,17,,0,127,
asm,hydrasynth,CC,Macro3,18,,0,127,
asm,hydrasynth,CC,Macro4,19,,0,127,
asm,hydrasynth,CC,Macro5,20,,0,127,
asm,hydrasynth,CC,Macro6,21,,0,127,
asm,hydrasynth,CC,Macro7,22,,0,127,
asm,hydrasynth,CC,Macro8,23,,0,127,
asm,hydrasynth,CC,Noise VOL,3,,0,127,
asm,hydrasynth,CC,Noise PAN,8,,0,127,
asm,hydrasynth,CC,Ring MOD VOL,9,,0,127,
asm,hydrasynth,CC,Ring MOD PAN,10,,0,127,
asm,hydrasynth,CC,RM12 Depth,43,,0,127,
asm,hydrasynth,CC,OSC1 VOL,44,,0,127,
asm,hydrasynth,CC,OSC1 PAN,45,,0,127,
asm,hydrasynth,CC,OSC2 VOL,46,,0,127,
asm,hydrasynth,CC,OSC2 PAN,47,,0,127,
asm,hydrasynth,CC,OSC3 VOL,48,,0,127,
asm,hydrasynth,CC,OSC3 PAN,49,,0,127,
asm,hydrasynth,CC,OSC3 F Rate,114,,0,127,
asm,hydrasynth,CC,Noise F Rate,115,,0,127,
asm,hydrasynth,CC,Ring MOD F Rate,116,,0,127,
asm,hydrasynth,CC,OSC1 F Rate,118,,0,127,
asm,hydrasynth,CC,OSC2 F Rate,119,,0,127,
asm,hydrasynth,CC,MUT1 Ratio,29,,0,127,
asm,hydrasynth,CC,MUT1 Depth,30,,0,127,
asm,hydrasynth,CC,MUT1 DRY WET,31,,0,127,
asm,hydrasynth,CC,MUT2 Ratio,33,,0,127,
asm,hydrasynth,CC,MUT2 Depth,34,,0,127,
asm,hydrasynth,CC,MUT2 DRY WET,35,,0,127,
asm,hydrasynth,CC,MUT3 Ratio,36,,0,127,
asm,hydrasynth,CC,MUT3 Depth,37,,0,127,
asm,hydrasynth,CC,MUT3 DRY WET,39,,0,127,
asm,hydrasynth,CC,MUT4 Ratio,40,,0,127,
asm,hydrasynth,CC,MUT4 Depth,41,,0,127,
asm,hydrasynth,CC,MUT4 DRY WET,42,,0,127,
asm,hydrasynth,CC,OSC1 Wavscan,24,,0,127,
asm,hydrasynth,CC,OSC1 Cent,111,,0,127,
asm,hydrasynth,CC,OSC2 WAV Scan,26,,0,127,
asm,hydrasynth,CC,OSC2 Cent,112,,0,127,
asm,hydrasynth,CC,OSC3 Cent,113,,0,127,
asm,hydrasynth,CC,Post Param1,68,,0,127,
asm,hydrasynth,CC,Post Param2,69,,0,127,
asm,hydrasynth,CC,Post MIX,94,,0,127,
asm,hydrasynth,CC,PRE Param1,12,,0,127,
asm,hydrasynth,CC,PRE Param2,13,,0,127,
asm,hydrasynth,CC,PRE MIX,93,,0,127,
asm,hydrasynth,CC,Reverb Time,65,,0,127,
asm,hydrasynth,CC,Reverb Tone,67,,0,127,
asm,hydrasynth,CC,Reverb DRY WET,91,,0,127,
asm,hydrasynth,CC,Mod wheel,1,,0,127,
asm,hydrasynth,CC,Volume,7,,0,127,
asm,hydrasynth,CC,EXP Pedal,11,,0,127,
asm,hydrasynth,CC,SUS Pedal,64,,0,127,
asm,hydrasynth,CC,Note OFF,123,,0,127,
asm,hydrasynth,CC,Glide Time,5,,0,127,
asm,hydrasynth,CC,Glide,66,,0,127,
asm,hydrasynth,CC,Detune,95,,0,127,
asm,hydrasynth,CC,ST Width,117,,0,127,
abildgard,droid-3,CC,Value Interpreter Mode,16,,0,3,Changes the interpretation of values
abildgard,droid-3,CC,Mixing Structure,20,,0,127,Changes filter type and routing.
abildgard,droid-3,CC,10=HP,,,10,11,11=BJ
abildgard,droid-3,CC,Filter cutoff 1,21,,0,127,Changes the cutoff of filter 1
abildgard,droid-3,CC,Filter cutoff 2/Filter width,,,0,0,"""Changes the cutoff of filter 2 or filter band width"
abildgard,droid-3,CC,Arpeggio speed,23,,0,127,Changes the speed of the arpeggio
abildgard,droid-3,CC,DCO2 and Env2 step amount,24,,0,7,Changes the stepping of DCO2 and Env2
abildgard,droid-3,CC,Various modes,25,,0,127,Changes various modes
abildgard,droid-3,CC,DCO1 Waveform,26,,0,31,Changes the waveform of DCO1
abildgard,droid-3,CC,DCO1 PW,27,,0,127,Changes the pulse width of DCO1
abildgard,droid-3,CC,DCO1 offset,28,,0,127,Changes the offset of DCO1
abildgard,droid-3,CC,DCO1 amplitude,29,,0,127,Changes the amplitude of DCO1
abildgard,droid-3,CC,DCO1 octave,30,,0,63,Changes the octave of DCO1
abildgard,droid-3,CC,DCO1 frequency,31,,0,127,Changes the frequency of DCO1
abildgard,droid-3,CC,DCO2 Waveform,102,,0,31,Changes the waveform of DCO2
abildgard,droid-3,CC,DCO2 PW,103,,0,127,Changes the pulse width of DCO2
abildgard,droid-3,CC,DCO2 offset,104,,0,127,Changes the offset of DCO2
abildgard,droid-3,CC,DCO2 amplitude,105,,0,127,Changes the amplitude of DCO2
abildgard,droid-3,CC,DCO2 octave,106,,0,63,Changes the octave of DCO2
abildgard,droid-3,CC,DCO2 frequency,107,,0,127,Changes the frequency of DCO2
abildgard,droid-3,CC,Env1 Attack,108,,0,127,Changes the attack of Env1
abildgard,droid-3,CC,Env1 Attack Level,109,,0,127,Changes the attack level of Env1
abildgard,droid-3,CC,Env1 Decay,110,,0,127,Changes the decay of Env1
abildgard,droid-3,CC,Env1 Sustain Level,111,,0,127,Changes the sustain level of Env1
abildgard,droid-3,CC,Env1 Release,112,,0,127,Changes the release of Env1
abildgard,droid-3,CC,Env1 Offset,113,,0,127,Changes the offset of Env1
abildgard,droid-3,CC,Env2 Attack,114,,0,127,Changes the attack of Env2
abildgard,droid-3,CC,Env2 Attack Level,115,,0,127,Changes the attack level of Env2
abildgard,droid-3,CC,Env2 Decay,116,,0,127,Changes the decay of Env2
abildgard,droid-3,CC,Env2 Sustain Level,117,,0,127,Changes the sustain level of Env2
abildgard,droid-3,CC,Env2 Release,118,,0,127,Changes the release of Env2
abildgard,droid-3,CC,Env2 Offset,119,,0,127,Changes the offset of Env2
abildgard,droid-3,CC,MIDI Channel,120,,0,15,Changes the global MIDI channel
Access,virus_a,CC,Modulation wheel,1,,0,127,
Access,virus_a,CC,Portamento time,5,,0,127,
Access,virus_a,CC,Channel volume,7,,0,127,
Access,virus_a,CC,Panorama,10,,0,127,
Access,virus_a,CC,Osc1 shape,17,,0,127,
Access,virus_a,CC,Osc1 pulsewidth,18,,0,127,
Access,virus_a,CC,Osc1 wave select,19,,0,64,
Access,virus_a,CC,Osc1 semitone,20,,0,127,
Access,virus_a,CC,Osc1 keyfollow,21,,0,127,
Access,virus_a,CC,Osc2 shape,22,,0,127,
Access,virus_a,CC,Osc2 pulsewidth,23,,0,127,
Access,virus_a,CC,Osc2 wave select,24,,0,64,
Access,virus_a,CC,Osc2 semitone,25,,0,127,
Access,virus_a,CC,Osc2 detune,26,,0,127,
Access,virus_a,CC,Osc2 fm amount,27,,0,127,
Access,virus_a,CC,Osc2 sync,28,,0,1,
Access,virus_a,CC,Osc2 filt env amt,29,,0,127,
Access,virus_a,CC,Fm filt env amt,30,,0,127,
Access,virus_a,CC,Osc2 keyfollow,31,,0,127,
Access,virus_a,CC,Bank select,32,,0,1,
Access,virus_a,CC,Osc balance,33,,0,127,
Access,virus_a,CC,Suboscillator volume,34,,0,127,
Access,virus_a,CC,Suboscillator shape,35,,0,1,
Access,virus_a,CC,Osc main volume,36,,0,127,
Access,virus_a,CC,Noise volume,37,,0,127,
Access,virus_a,CC,Cutoff,40,,0,127,
Access,virus_a,CC,Cutoff2,41,,0,127,
Access,virus_a,CC,Filter1 resonance,42,,0,127,
Access,virus_a,CC,Filter2 resonance,43,,0,127,
Access,virus_a,CC,Filter1 env amt,44,,0,127,
Access,virus_a,CC,Filter2 env amt,45,,0,127,
Access,virus_a,CC,Filter1 keyfollow,46,,0,127,
Access,virus_a,CC,Filter2 keyfollow,47,,0,127,
Access,virus_a,CC,Filter balance,48,,0,127,
Access,virus_a,CC,Saturation curve,49,,0,6,
Access,virus_a,CC,Filter1 mode,51,,0,3,
Access,virus_a,CC,Filter2 mode,52,,0,3,
Access,virus_a,CC,Filter routing,53,,0,3,
Access,virus_a,CC,Filter env attack,54,,0,127,
Access,virus_a,CC,Filter env decay,55,,0,127,
Access,virus_a,CC,Filter env sustain,56,,0,127,
Access,virus_a,CC,Filter env sustain time,57,,0,127,
Access,virus_a,CC,Filter env release,58,,0,127,
Access,virus_a,CC,Amp env attack,59,,0,127,
Access,virus_a,CC,Amp env decay,60,,0,127,
Access,virus_a,CC,Amp env sustain,61,,0,127,
Access,virus_a,CC,Amp env sustain time,62,,0,127,
Access,virus_a,CC,Amp env release,63,,0,127,
Access,virus_a,CC,Hold pedal,64,,0,127,
Access,virus_a,CC,Lfo1 rate,67,,0,127,
Access,virus_a,CC,Lfo1 shape,68,,0,5,
Access,virus_a,CC,Lfo1 env mode,69,,0,1,
Access,virus_a,CC,Lfo1 mode,70,,0,1,
Access,virus_a,CC,Lfo1 symmetry,71,,0,127,
Access,virus_a,CC,Lfo1 keyfollow amt,72,,0,127,
Access,virus_a,CC,Osc1 lfo1 amount,74,,0,127,
Access,virus_a,CC,Osc2 lfo1 amount,75,,0,127,
Access,virus_a,CC,Pw lfo1 amount,76,,0,127,
Access,virus_a,CC,Reso lfo1 amount,77,,0,127,
Access,virus_a,CC,Filtgain lfo1 amount,78,,0,127,
Access,virus_a,CC,Lfo2 rate,79,,0,127,
Access,virus_a,CC,Lfo2 shape,80,,0,5,
Access,virus_a,CC,Lfo2 env mode,81,,0,1,
Access,virus_a,CC,Lfo2 mode,82,,0,1,
Access,virus_a,CC,Lfo2 symmetry,83,,0,127,
Access,virus_a,CC,Lfo2 keytrigger,85,,0,127,
Access,virus_a,CC,Oscshape lfo2 amount,86,,0,127,
Access,virus_a,CC,Fmamount lfo2 amount,87,,0,127,
Access,virus_a,CC,Cutoff1 lfo2 amount,88,,0,127,
Access,virus_a,CC,Cutoff2 lfo2 amount,89,,0,127,
Access,virus_a,CC,Panorama lfo2 amount,90,,0,127,
Access,virus_a,CC,Patch volume,91,,0,127,
Access,virus_a,CC,Transpose,93,,0,127,
Access,virus_a,CC,Key mode,94,,0,4,
Access,virus_a,CC,Twin mode,97,,0,1,
Access,virus_a,CC,Twin detune,98,,0,127,
Access,virus_a,CC,Panorama spread,99,,0,127,
Access,virus_a,CC,Twin lfo phase,100,,0,127,
Access,virus_a,CC,Input mode,101,,0,2,
Access,virus_a,CC,Input select,102,,0,8,
Access,virus_a,CC,Chorus mix,105,,0,127,
Access,virus_a,CC,Chorus rate,106,,0,127,
Access,virus_a,CC,Chorus depth,107,,0,127,
Access,virus_a,CC,Chorus delay,108,,0,127,
Access,virus_a,CC,Chorus feedback,109,,0,127,
Access,virus_a,CC,Chorus lfo shape,110,,0,5,
Access,virus_a,CC,Effect send,113,,0,127,
Access,virus_a,CC,Delay time,114,,0,127,
Access,virus_a,CC,Delay feedback,115,,0,127,
Access,virus_a,CC,Delay rate,116,,0,127,
Access,virus_a,CC,Delay depth,117,,0,127,
Access,virus_a,CC,Delay lfo shape,118,,0,5,
Access,virus_a,CC,All notes off,123,,0,0,
Access,Virus TI,CC,Osc1: Waveform,17,,0,127,
Access,Virus TI,CC,Osc1: Pulsewidth,18,,0,127,
Access,Virus TI,CC,Osc1: Wave Select,19,,0,127,
Access,Virus TI,CC,Osc1: Semitone,20,,0,127,
Access,Virus TI,CC,Osc1: Keyboard Tracking,21,,0,127,
Access,Virus TI,CC,Osc2: Waveform,22,,0,127,
Access,Virus TI,CC,Osc2: Pulsewidth,23,,0,127,
Access,Virus TI,CC,Osc2: Wave Select,24,,0,127,
Access,Virus TI,CC,Osc2: Semitone,25,,0,127,
Access,Virus TI,CC,Osc2: Detune,26,,0,127,
Access,Virus TI,CC,Osc2: FM Amount,27,,0,127,
Access,Virus TI,CC,Osc2: Oscillatory Sync,28,,0,127,
Access,Virus TI,CC,Osc2: Filter Envelope,29,,0,127,
Access,Virus TI,CC,Osc2: Keyboard Tracking,31,,0,127,
Access,Virus TI,CC,Osc Global: Oscillator Balance,33,,0,127,
Access,Virus TI,CC,Osc Global: Suboscillator Volume,34,,0,127,
Access,Virus TI,CC,Osc Global: Oscillator Main Volume,36,,0,127,
Access,Virus TI,CC,Osc Global: Noise Volume,37,,0,127,
Access,Virus TI,CC,Osc Global: Ring Modulator Volume,38,,0,127,
Access,Virus TI,CC,Osc Global: Noise Color,39,,0,127,
Access,Virus TI,CC,Osc Global: Suboscillator Shape,35,,0,127,
Access,Virus TI,CC,Filter 1: Cutoff,40,,0,127,
Access,Virus TI,CC,Filter 1: Resonance,42,,0,127,
Access,Virus TI,CC,Filter 1: Envelope Amount,44,,0,127,
Access,Virus TI,CC,Filter 1: Keyboard Tracking,46,,0,127,
Access,Virus TI,CC,Filter 1: Filter Mode,51,,0,127,
Access,Virus TI,CC,Filter 2: Cutoff,41,,0,127,
Access,Virus TI,CC,Filter 2: Resonance,43,,0,127,
Access,Virus TI,CC,Filter 2: Envelope Amount,45,,0,127,
Access,Virus TI,CC,Filter 2: Keyboard Tracking,47,,0,127,
Access,Virus TI,CC,Filter 2: Filter Mode,52,,0,127,
Access,Virus TI,CC,Filter Global: Filter Balance,48,,0,127,
Access,Virus TI,CC,Filter Global: Filter Routing,53,,0,127,
Access,Virus TI,CC,Filter Global: Saturation Curve,59,,0,127,
Access,Virus TI,CC,Filter Global: FM > Filter Envelope,30,,0,127,
Access,Virus TI,CC,Filter Envelope: Attack,54,,0,127,
Access,Virus TI,CC,Filter Envelope: Decay,55,,0,127,
Access,Virus TI,CC,Filter Envelope: Sustain,56,,0,127,
Access,Virus TI,CC,Filter Envelope: Sustain Time,57,,0,127,
Access,Virus TI,CC,Filter Envelope: Release,58,,0,127,
Access,Virus TI,CC,Amp Envelope: Attack,59,,0,127,
Access,Virus TI,CC,Amp Envelope: Decay,60,,0,127,
Access,Virus TI,CC,Amp Envelope: Sustain,61,,0,127,
Access,Virus TI,CC,Amp Envelope: Sustain Time,62,,0,127,
Access,Virus TI,CC,Amp Envelope: Release,63,,0,127,
Access,Virus TI,CC,Voice/Pitch: Potamento Time,5,,0,127,
Access,Virus TI,CC,Voice/Pitch: Transpose,93,,0,127,
Access,Virus TI,CC,Voice/Pitch: Keyboard Mode,94,,0,127,
Access,Virus TI,CC,Voice/Pitch: Unison Mode,97,,0,127,
Access,Virus TI,CC,Voice/Pitch: Unison Detune,98,,0,127,
Access,Virus TI,CC,Voice/Pitch: Unison Spread,99,,0,127,
Access,Virus TI,CC,Voice/Pitch: Unison LFO Phase,100,,0,127,
Access,Virus TI,CC,Global Mixer: Part Volume,7,,0,127,
Access,Virus TI,CC,Global Mixer: Part Balance,8,,0,127,
Access,Virus TI,CC,Global Mixer: Part Pan,10,,0,127,
Access,Virus TI,CC,Global Mixer: Patch Volume,91,,0,127,
Access,Virus TI,CC,Global Mixer: Input Mode,101,,0,127,
Access,Virus TI,CC,Global Mixer: Input Select,102,,0,127,
Access,Virus TI,CC,LFO 1: Rate,67,,0,127,
Access,Virus TI,CC,LFO 1: Shape,68,,0,127,
Access,Virus TI,CC,LFO 1: Envelope Mode,69,,0,127,
Access,Virus TI,CC,LFO 1: LFO Mode,70,,0,127,
Access,Virus TI,CC,LFO 1: Symmetry,71,,0,127,
Access,Virus TI,CC,LFO 1: Keyboard Tracking,72,,0,127,
Access,Virus TI,CC,LFO 1: Key Trigger,73,,0,127,
Access,Virus TI,CC,LFO 2: Rate,79,,0,127,
Access,Virus TI,CC,LFO 2: Shape,80,,0,127,
Access,Virus TI,CC,LFO 2: Envelope Mode,81,,0,127,
Access,Virus TI,CC,LFO 2: LFO Mode,82,,0,127,
Access,Virus TI,CC,LFO 2: Symmetry,83,,0,127,
Access,Virus TI,CC,LFO 2: Keyboard Tracking,84,,0,127,
Access,Virus TI,CC,LFO 2: Key Trigger,85,,0,127,
Access,Virus TI,CC,LFO Routing: LFO1 > Osc1,74,,0,127,
Access,Virus TI,CC,LFO Routing: LFO1 > Osc2,75,,0,127,
Access,Virus TI,CC,LFO Routing: LFO1 > Pulsewidth,76,,0,127,
Access,Virus TI,CC,LFO Routing: LFO1 > Resonance,77,,0,127,
Access,Virus TI,CC,LFO Routing: LFO1 > Filter Gain,78,,0,127,
Access,Virus TI,CC,LFO Routing: LFO2 > Osc Shape,86,,0,127,
Access,Virus TI,CC,LFO Routing: LFO2 > FM Amount,87,,0,127,
Access,Virus TI,CC,LFO Routing: LFO2 > Filter 1 Cutoff,88,,0,127,
Access,Virus TI,CC,LFO Routing: LFO2 > Filter 2 Cutoff,89,,0,127,
Access,Virus TI,CC,LFO Routing: LFO2 > Pan,90,,0,127,
Access,Virus TI,CC,Chorus: Mix,105,,0,127,
Access,Virus TI,CC,Chorus: Rate,106,,0,127,
Access,Virus TI,CC,Chorus: Depth,107,,0,127,
Access,Virus TI,CC,Chorus: Delay,108,,0,127,
Access,Virus TI,CC,Chorus: Feedback,109,,0,127,
Access,Virus TI,CC,Chorus: LFO Shape,110,,0,127,
Access,Virus TI,CC,Delay: Time,114,,0,127,
Access,Virus TI,CC,Delay: Feedback,115,,0,127,
Access,Virus TI,CC,Delay: Rate,116,,0,127,
Access,Virus TI,CC,Delay: Depth,117,,0,127,
Access,Virus TI,CC,Delay: LFO Shape,118,,0,127,
Access,Virus TI,CC,Delay: Color,119,,0,127,
Access,Virus TI,CC,Reverb: Decay Time,116,,0,127,
Access,Virus TI,CC,Reverb: Room Size,117,,0,127,
Access,Virus TI,CC,Reverb: Damping,118,,0,127,
Access,Virus TI,CC,Delay/Reverb Mode,112,,0,127,
Access,Virus TI,CC,Effect Send,113,,0,127,
Access,Virus TI,CC,Bank Select (MSB),0,,0,127,
Access,Virus TI,CC,Data Slider,6,,0,127,
Access,Virus TI,CC,Bank Select (LSB),32,,0,127,
Access,Virus TI,CC,All Notes Off,123,,0,127,
Access,Virus TI,CC,Keyboard On/Off,122,,0,127,
Access,Virus TI,CC,Controller 3,3,,0,127,
Access,Virus TI,CC,Controller 9,9,,0,127,
Access,Virus TI,CC,Controller 12,12,,0,127,
Access,Virus TI,CC,Controller 13,13,,0,127,
Access,Virus TI,CC,Controller 14,14,,0,127,
Access,Virus TI,CC,Controller 15,15,,0,127,
Access,Virus TI,CC,Controller 16,16,,0,127,
Access,Virus TI,CC,Controller 50,50,,0,127,
Access,Virus TI,CC,Controller 92,92,,0,127,
Access,Virus TI,CC,Controller 95,95,,0,127,
Access,Virus TI,CC,Controller 96,96,,0,127,
Access,Virus TI,CC,Controller 103,103,,0,127,
Access,Virus TI,CC,Controller 104,104,,0,127,
Access,Virus TI,CC,Controller 111,111,,0,127,
Access,Virus TI,CC,Controller 120,120,,0,127,
Access,Virus TI,CC,Controller 121,121,,0,127,
Access,Virus TI,CC,Controller 124,124,,0,127,
Access,Virus TI,CC,Controller 125,125,,0,127,
Access,Virus TI,CC,Controller 126,126,,0,127,
Access,Virus TI,CC,Controller 127,127,,0,127,
Access,Virus TI,CC,Breath Controller,2,,0,127,
Access,Virus TI,CC,Expression,11,,0,127,
Access,Virus TI,CC,Foot Controller,4,,0,127,
Access,Virus TI,CC,Sustain Pedal,64,,0,127,
Access,Virus TI,CC,Modulation Wheel,1,,0,127,
Access,Virus TI,CC,Portamento Pedal,65,,0,127,
Access,Virus TI,CC,Sostenuto Pedal,66,,0,127,
Adrenalinn,III,CC,Custom 64,64,,0,127,Adaptable CC for custom parameter control
Adrenalinn,III,CC,Custom 65,65,,0,127,Adaptable CC for custom parameter control
